,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
0,GTEX-S4Q7-0003-SM-3NM8M,GTEX,9.428,Cell Line,Cells,GTEX: Cell Line
2,GTEX-QV31-1626-SM-2S1QC,GTEX,11.68,Normal Tissue,Artery,GTEX: Normal Tissue
4,GTEX-13OVI-1026-SM-5L3EM,GTEX,10.9,Normal Tissue,Uterus,GTEX: Normal Tissue
5,GTEX-13OW5-0626-SM-5J2N2,GTEX,13.0,Normal Tissue,Thyroid,GTEX: Normal Tissue
6,GTEX-XUZC-2026-SM-4BRW9,GTEX,12.96,Normal Tissue,Artery,GTEX: Normal Tissue
13,GTEX-ZAKK-0326-SM-5EGHA,GTEX,11.93,Normal Tissue,Muscle,GTEX: Normal Tissue
14,GTEX-1399S-1726-SM-5L3DI,GTEX,12.1,Normal Tissue,Lung,GTEX: Normal Tissue
15,GTEX-ZF29-0926-SM-4WKFZ,GTEX,13.75,Normal Tissue,Skin,GTEX: Normal Tissue
17,GTEX-13W3W-2626-SM-5SIA2,GTEX,10.13,Normal Tissue,Muscle,GTEX: Normal Tissue
18,GTEX-WHPG-0226-SM-3NMB9,GTEX,12.85,Normal Tissue,Thyroid,GTEX: Normal Tissue
20,GTEX-P44H-0526-SM-2XCF1,GTEX,12.82,Normal Tissue,Nerve,GTEX: Normal Tissue
21,GTEX-ZDYS-0826-SM-4WWCR,GTEX,13.46,Normal Tissue,Esophagus,GTEX: Normal Tissue
24,GTEX-13OVJ-0011-R1b-SM-5L3I6,GTEX,11.04,Normal Tissue,Brain,GTEX: Normal Tissue
26,GTEX-TSE9-0126-SM-3DB83,GTEX,13.15,Normal Tissue,Skin,GTEX: Normal Tissue
28,GTEX-RU1J-1926-SM-2TF6S,GTEX,11.64,Normal Tissue,Artery,GTEX: Normal Tissue
35,GTEX-POMQ-0006-SM-5SI7D,GTEX,6.574,Normal Tissue,Whole Blood,GTEX: Normal Tissue
37,GTEX-11P7K-0326-SM-59871,GTEX,12.22,Normal Tissue,Lung,GTEX: Normal Tissue
43,GTEX-QXCU-0626-SM-2TC69,GTEX,11.95,Normal Tissue,Lung,GTEX: Normal Tissue
46,GTEX-1269C-2626-SM-5EQ5C,GTEX,11.27,Normal Tissue,Muscle,GTEX: Normal Tissue
49,GTEX-P4PQ-0126-SM-2S1NM,GTEX,13.1,Normal Tissue,Skin,GTEX: Normal Tissue
55,GTEX-1122O-0426-SM-5H12G,GTEX,12.26,Normal Tissue,Artery,GTEX: Normal Tissue
58,GTEX-1399Q-0005-SM-5NQAG,GTEX,9.205,Normal Tissue,Whole Blood,GTEX: Normal Tissue
61,GTEX-11EI6-0826-SM-5985V,GTEX,11.95,Normal Tissue,Lung,GTEX: Normal Tissue
62,GTEX-11EI6-3126-SM-5H111,GTEX,12.7,Normal Tissue,Pituitary,GTEX: Normal Tissue
64,GTEX-QV44-1726-SM-4R1KG,GTEX,11.18,Normal Tissue,Testis,GTEX: Normal Tissue
65,GTEX-111VG-1926-SM-5GIDO,GTEX,12.01,Normal Tissue,Testis,GTEX: Normal Tissue
70,GTEX-S341-0326-SM-2XCAU,GTEX,11.76,Normal Tissue,Lung,GTEX: Normal Tissue
72,GTEX-N7MS-2625-SM-3LK77,GTEX,11.86,Normal Tissue,Pituitary,GTEX: Normal Tissue
77,GTEX-OHPJ-0926-SM-2HMJ1,GTEX,12.32,Normal Tissue,Heart,GTEX: Normal Tissue
78,GTEX-13O61-0326-SM-5KM2O,GTEX,12.4,Normal Tissue,Artery,GTEX: Normal Tissue
84,GTEX-TSE9-1326-SM-5CHR5,GTEX,0.0,Normal Tissue,Esophagus,GTEX: Normal Tissue
85,GTEX-13PL7-2726-SM-5L3GB,GTEX,12.75,Normal Tissue,Vagina,GTEX: Normal Tissue
86,GTEX-ZVZQ-0006-SM-51MR8,GTEX,10.77,Normal Tissue,Whole Blood,GTEX: Normal Tissue
87,GTEX-QV44-0526-SM-2S1RE,GTEX,12.23,Normal Tissue,Heart,GTEX: Normal Tissue
88,GTEX-WY7C-0426-SM-3NB3C,GTEX,12.49,Normal Tissue,Lung,GTEX: Normal Tissue
91,GTEX-ZPCL-0004-SM-4WWD6,GTEX,8.783,Cell Line,Cells,GTEX: Cell Line
92,GTEX-X5EB-0326-SM-4QASF,GTEX,11.62,Normal Tissue,Artery,GTEX: Normal Tissue
95,GTEX-13G51-2126-SM-5IJD9,GTEX,11.18,Normal Tissue,Colon,GTEX: Normal Tissue
98,GTEX-Y5V6-2826-SM-4VDSF,GTEX,11.51,Normal Tissue,Artery,GTEX: Normal Tissue
101,GTEX-TMZS-0001-SM-3P61Q,GTEX,8.824,Cell Line,Cells,GTEX: Cell Line
102,GTEX-T5JC-2426-SM-3NMDB,GTEX,8.954,Normal Tissue,Brain,GTEX: Normal Tissue
104,GTEX-WOFM-0526-SM-4OOS2,GTEX,11.29,Normal Tissue,Esophagus,GTEX: Normal Tissue
109,GTEX-N7MS-2526-SM-26GMA,GTEX,7.777,Normal Tissue,Brain,GTEX: Normal Tissue
111,GTEX-13FTZ-2226-SM-5LZXI,GTEX,11.16,Normal Tissue,Muscle,GTEX: Normal Tissue
112,GTEX-14AS3-1326-SM-5RQJE,GTEX,11.23,Normal Tissue,Ovary,GTEX: Normal Tissue
114,GTEX-1339X-0326-SM-5K7Z8,GTEX,12.9,Normal Tissue,Heart,GTEX: Normal Tissue
119,GTEX-11ONC-2826-SM-5P9GQ,GTEX,12.15,Normal Tissue,Pituitary,GTEX: Normal Tissue
121,GTEX-N7MS-2526-SM-26GMR,GTEX,7.625,Normal Tissue,Brain,GTEX: Normal Tissue
122,GTEX-ZP4G-0526-SM-4YCED,GTEX,11.8,Normal Tissue,Artery,GTEX: Normal Tissue
124,GTEX-WH7G-0826-SM-4LVMR,GTEX,11.93,Normal Tissue,Pancreas,GTEX: Normal Tissue
127,GTEX-1497J-1226-SM-5Q5BL,GTEX,12.06,Normal Tissue,Heart,GTEX: Normal Tissue
130,GTEX-QLQ7-0826-SM-447B3,GTEX,12.12,Normal Tissue,Stomach,GTEX: Normal Tissue
134,GTEX-WYBS-1026-SM-4ONCY,GTEX,11.16,Normal Tissue,Adipose,GTEX: Normal Tissue
135,GTEX-ZPCL-1426-SM-57WEC,GTEX,13.57,Normal Tissue,Esophagus,GTEX: Normal Tissue
136,GTEX-11NV4-1326-SM-5HL6V,GTEX,12.75,Normal Tissue,Liver,GTEX: Normal Tissue
141,GTEX-132QS-0326-SM-5IJFN,GTEX,12.87,Normal Tissue,Thyroid,GTEX: Normal Tissue
145,GTEX-X585-0008-SM-46MU4,GTEX,11.87,Cell Line,Cells,GTEX: Cell Line
147,GTEX-Z93S-1626-SM-5CVMB,GTEX,13.66,Normal Tissue,Skin,GTEX: Normal Tissue
149,GTEX-139T8-0011-R1a-SM-5HL75,GTEX,9.567,Normal Tissue,Brain,GTEX: Normal Tissue
151,GTEX-12WSD-2826-SM-59HKT,GTEX,11.61,Normal Tissue,Uterus,GTEX: Normal Tissue
153,GTEX-11ZUS-0011-R11b-SM-5BC7B,GTEX,7.412,Normal Tissue,Brain,GTEX: Normal Tissue
156,GTEX-ZPU1-1026-SM-4YCEQ,GTEX,8.974,Normal Tissue,Spleen,GTEX: Normal Tissue
157,GTEX-Y9LG-0226-SM-4VBS4,GTEX,11.8,Normal Tissue,Artery,GTEX: Normal Tissue
158,GTEX-13PVQ-0726-SM-5L3GI,GTEX,12.84,Normal Tissue,Thyroid,GTEX: Normal Tissue
159,GTEX-OHPL-1626-SM-2HMIR,GTEX,11.09,Normal Tissue,Muscle,GTEX: Normal Tissue
160,GTEX-POYW-0006-SM-2XCF4,GTEX,8.422,Normal Tissue,Whole Blood,GTEX: Normal Tissue
164,GTEX-12584-0926-SM-5FQTN,GTEX,11.8,Normal Tissue,Heart,GTEX: Normal Tissue
165,GTEX-PLZ6-0626-SM-5K7WJ,GTEX,11.71,Normal Tissue,Esophagus,GTEX: Normal Tissue
166,GTEX-11DYG-0006-SM-5NQB2,GTEX,10.8,Normal Tissue,Whole Blood,GTEX: Normal Tissue
170,GTEX-Y5LM-0426-SM-4VBRO,GTEX,11.09,Normal Tissue,Liver,GTEX: Normal Tissue
172,GTEX-YB5E-1026-SM-5IFI2,GTEX,11.9,Normal Tissue,Esophagus,GTEX: Normal Tissue
174,GTEX-ZYW4-1426-SM-5SIAX,GTEX,11.3,Normal Tissue,Esophagus,GTEX: Normal Tissue
175,GTEX-Y5V5-2126-SM-4WWFO,GTEX,12.14,Normal Tissue,Breast,GTEX: Normal Tissue
176,GTEX-ZT9X-1826-SM-57WDU,GTEX,10.45,Normal Tissue,Muscle,GTEX: Normal Tissue
178,GTEX-R53T-1626-SM-3GAEW,GTEX,9.301,Normal Tissue,Adipose,GTEX: Normal Tissue
