,Sample,Study,ERBB2,EGFR
0,GTEX-S4Q7-0003-SM-3NM8M,GTEX,9.428,5.69
1,TCGA-S9-A7J2-01,TCGA,10.23,14.31
2,GTEX-QV31-1626-SM-2S1QC,GTEX,11.68,12.06
3,TCGA-G3-A3CH-11,TCGA,12.32,12.44
4,GTEX-13OVI-1026-SM-5L3EM,GTEX,10.9,12.32
5,GTEX-13OW5-0626-SM-5J2N2,GTEX,13.0,11.43
6,GTEX-XUZC-2026-SM-4BRW9,GTEX,12.96,12.04
7,TCGA-EK-A2RE-01,TCGA,12.4,13.92
8,TCGA-44-6778-01,TCGA,11.09,10.91
9,TCGA-F4-6854-01,TCGA,13.23,11.1
10,TCGA-AB-2863-03,TCGA,7.208,3.625
11,TCGA-C8-A1HL-01,TCGA,14.69,8.622
12,TCGA-EW-A2FS-01,TCGA,13.98,9.782
13,GTEX-ZAKK-0326-SM-5EGHA,GTEX,11.93,11.0
14,GTEX-1399S-1726-SM-5L3DI,GTEX,12.1,12.86
15,GTEX-ZF29-0926-SM-4WKFZ,GTEX,13.75,14.1
16,TCGA-05-4420-01,TCGA,13.61,11.2
17,GTEX-13W3W-2626-SM-5SIA2,GTEX,10.13,10.11
18,GTEX-WHPG-0226-SM-3NMB9,GTEX,12.85,11.34
19,TCGA-2G-AAFZ-01,TCGA,13.46,11.9
20,GTEX-P44H-0526-SM-2XCF1,GTEX,12.82,12.97
21,GTEX-ZDYS-0826-SM-4WWCR,GTEX,13.46,13.15
22,TCGA-DX-A3U8-01,TCGA,11.93,7.394
23,TCGA-GL-8500-01,TCGA,13.55,11.96
24,GTEX-13OVJ-0011-R1b-SM-5L3I6,GTEX,11.04,11.09
25,TCGA-CC-A3MA-01,TCGA,12.8,12.31
26,GTEX-TSE9-0126-SM-3DB83,GTEX,13.15,13.87
27,TCGA-BR-A4J6-01,TCGA,13.52,11.42
28,GTEX-RU1J-1926-SM-2TF6S,GTEX,11.64,13.37
29,TCGA-KK-A6E4-01,TCGA,12.5,10.37
30,TCGA-IN-7808-01,TCGA,10.84,11.07
31,TCGA-L5-A4OH-01,TCGA,13.68,13.7
32,TCGA-RP-A695-06,TCGA,11.12,4.518
33,TCGA-A4-7828-01,TCGA,13.29,12.82
34,TARGET-20-PARXMP-09,TARGET,8.054,0.0
35,GTEX-POMQ-0006-SM-5SI7D,GTEX,6.574,3.976
36,TCGA-B9-A8YH-01,TCGA,13.94,12.79
37,GTEX-11P7K-0326-SM-59871,GTEX,12.22,11.9
38,TCGA-E1-A7YI-01,TCGA,9.586,9.188
39,TCGA-PC-A5DM-01,TCGA,11.34,10.86
40,TCGA-BR-A4QL-01,TCGA,12.65,11.27
41,TCGA-CH-5751-01,TCGA,11.57,12.74
42,TCGA-A2-A3XX-01,TCGA,13.66,10.19
43,GTEX-QXCU-0626-SM-2TC69,GTEX,11.95,12.93
44,TCGA-DQ-5624-01,TCGA,12.3,16.26
45,TCGA-KK-A7B3-01,TCGA,13.22,11.58
46,GTEX-1269C-2626-SM-5EQ5C,GTEX,11.27,10.35
47,TCGA-DQ-7591-01,TCGA,13.68,13.25
48,TCGA-06-5412-01,TCGA,8.417,10.8
49,GTEX-P4PQ-0126-SM-2S1NM,GTEX,13.1,12.8
50,TCGA-BP-4989-01,TCGA,11.23,13.3
51,TCGA-EJ-8468-01,TCGA,13.25,11.8
52,TCGA-CZ-5459-01,TCGA,11.89,13.23
53,TCGA-D5-5538-01,TCGA,12.54,9.789
54,TCGA-KP-A3W3-01,TCGA,12.27,9.957
55,GTEX-1122O-0426-SM-5H12G,GTEX,12.26,11.72
56,TCGA-CZ-5468-11,TCGA,14.36,12.18
57,TCGA-BH-A0BQ-11,TCGA,12.99,12.8
